SearchToken,Occurances
buying,39
dollar,39
barbra,71
period,43
steven,40
gun,39
pop,40
till,39
commercial,38
goddamn,38
peace,38
noticed,38
deserve,38
large,38
double,38
terrorist,39
writing,38
pretend,38
guinea,38
dress,38
promise,39
army,38
yours,38
push,38
gas,38
board,38
interesting,38
complete,37
notice,37
washington,37
realized,37
alive,37
appear,37
however,38
famous,37
figured,37
leaving,37
disease,37
hospital,37
cruise,37
cure,37
gosh,37
powers,37
wall,37
street,37
chinpokomon,37
offer,37
seconds,37
wild,38
boat,38
pizza,37
camera,37
oooh,90
helped,36
pig,36
jack,36
freeze,36
prepare,36
study,36
daughter,36
finished,36
cute,36
action,36
forgot,36
fucked,36
age,36
adventure,36
tobacco,36
album,36
focus,36
jennifer,37
whose,36
queen,54
outta,36
missed,38
ways,36
cat,36
ticket,36
church,36
christian,35
tells,35
los,35
keeper,35
clearly,35
girlfriend,35
belong,35
center,35
met,47
economy,35
warm,35
poop,35
walking,35
rather,35
teeth,36
imagination,36
caused,35
based,37
forgive,36
doubt,35
peruvian,35
selling,35
terrible,35
tickets,35
scouts,35
pain,35
losing,35
letting,35
sad,35
counsellor,35
island,35
paying,35
award,34
cells,34
filled,34
kathie,34
jail,34
boo,34
count,34
stomach,34
acting,34
lay,34
possibly,34
information,34
practice,34
yesterday,34
obviously,34
cream,34
channel,35
rally,36
jefferson,35
clothes,34
strike,35
meteor,34
dangerous,34
rings,34
keeping,34
lee,34
guest,34
ate,34
stage,34
green,34
machine,34
certain,34
praise,34
visit,34
ghost,35
device,34
wave,35
ladder,36
lascar,34
copy,34
whore,34
growing,34
ideas,33
changing,33
kitty,33
fifth,34
expect,33
suddenly,33
musical,33
whale,34
loved,33
science,33
monkey,33
trick,34
imagine,33
window,34
walked,33
stars,33
poofs,33
calls,34
casa,33
played,34
quit,33
bomb,34
da,33
afford,33
anywhere,33
percent,33
hour,34
spread,33
imaginary,33
dancing,32
mary,32
agreed,32
thousands,32
plenty,32
cars,33
al,32
trent,32
following,33
lies,32
forest,32
dying,32
